Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1836
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1981   97.8   69.6  153.9   49.2   89.4   66.7   66.5   45.9  172.5  157.2  125.7   87.5   298.3   292.5   179.2   455.4  1182.0
1982  102.1   73.2  120.4   31.0   60.7   99.0   39.7  110.3  119.8  141.0  161.5  140.8   262.8   212.0   249.1   422.4  1199.6
1983  149.9   46.7   98.8   89.9  105.5   51.0   38.3   38.6  123.2  140.6   51.1  151.5   337.4   294.2   127.9   314.9  1085.0
1984  170.1   77.5   73.9   28.4   45.4   51.8   36.7   56.5  131.6  137.3  171.3  109.8   399.1   147.8   145.0   440.1  1090.3
1985   76.4   35.2   77.3   84.7   68.8   90.6  105.7  158.4  100.2   59.3   98.8  147.1   221.4   230.8   354.6   258.2  1102.4
1986  146.3   17.2  110.6   84.7  118.5   49.2   66.6  120.5   35.4  118.1  158.2  187.9   310.7   313.9   236.4   311.7  1213.4
1987   45.0   68.7  112.4   64.9   55.0  103.4   85.6   87.2   93.7  164.1   91.2   89.9   301.7   232.2   276.1   349.1  1061.0
1988  169.9   90.3  126.7   52.8   58.5   37.0  150.6  117.0   93.2  118.6   65.2   81.2   350.1   238.0   304.6   277.0  1161.0
1989   97.4  137.8  124.5   79.1   32.0   62.8   42.0  102.7   58.9  128.4   60.5  119.0   316.4   235.6   207.5   247.8  1045.1
1990  169.8  193.4   94.8   60.1   35.6   93.8   49.4   72.8   82.2  142.6   78.9  130.2   482.2   190.4   216.0   303.8  1203.6
1991  111.4   70.4   94.1   90.9   22.6  103.5   76.5   43.2   84.0  107.2  138.3   82.5   312.1   207.7   223.3   329.6  1024.9
1992   78.9   89.6  127.9   91.1   58.9   39.2   86.7  162.9  118.1   95.9  161.2  107.0   251.1   277.8   288.8   375.2  1217.3
1993  175.4   33.1   58.9  102.6   98.6   68.4   94.5   62.1   99.7   94.0   73.5  188.7   315.4   260.1   224.9   267.2  1149.4
1994  154.0   88.6  146.3   94.5   49.6   62.8   54.3   82.7  103.1   98.4  108.0  174.2   431.4   290.5   199.8   309.5  1216.6
1995  181.0  143.0   94.1   40.6   59.7   29.7   57.9   18.4  135.5  117.2   99.8   73.4   498.2   194.5   106.0   352.5  1050.4
1996   74.7  101.7   48.7   72.9   65.6   42.2   55.2   78.5   44.4  136.7  147.6   66.9   249.8   187.2   175.9   328.6   935.1
1997   29.0  168.3   66.9   43.1   87.4  116.0   63.9   83.9   62.0   72.4  123.3  133.1   264.2   197.4   263.7   257.6  1049.1
1998  134.2   81.8  105.1  121.2   41.3  121.8   93.1   79.0   92.6  187.7  118.4  122.6   349.2   267.6   293.9   398.7  1298.8
1999  164.9   83.1   88.7   88.6   75.9   93.8   46.1   91.9  140.2   93.4  109.5  195.5   370.5   253.2   231.8   343.2  1271.6
2000  101.9  131.7   67.7  123.9   77.7   58.3   59.7   85.5  133.8  199.5  176.3  156.8   429.1   269.3   203.5   509.7  1372.9
2001   79.0   97.0   85.6   89.6   43.3   58.0   81.7   96.9   88.9  165.3   95.0   69.7   332.9   218.5   236.6   349.1  1050.0
2002  134.3  175.3   75.5   68.0  101.6   86.8   98.5   73.8   40.6  153.8  163.1  109.2   379.3   245.2   259.1   357.5  1280.5
2003  113.9   48.3   53.7   50.4   98.0   71.2   78.3   26.7   53.8   63.9  120.6  121.9   271.4   202.2   176.1   238.2   900.6
2004  150.1   74.4   70.1   92.8   51.0   84.8   70.2  159.7  103.1  165.4   75.2  110.6   346.4   213.9   314.7   343.7  1207.3
2005  126.7   69.9   72.7   90.9   72.7   71.7   59.4   85.5   91.9  141.7  116.0   80.6   307.2   236.3   216.7   349.5  1079.7
2006   59.3   65.0  110.1   67.5  112.6   42.0   53.1   92.0  102.5  142.0  153.1  172.5   204.9   290.2   187.1   397.6  1171.7
2007  152.3  110.0   87.4   26.4  114.1  136.1  134.6   85.8   67.0   64.5  100.4  114.0   434.8   227.8   356.6   231.8  1192.5
2008  189.3   81.8  122.6   76.2   47.7   78.7  108.1  135.0  105.8  154.4  105.8   87.5   385.1   246.6   321.8   365.9  1292.9
2009  119.4   59.8   78.9   60.0   81.7   61.9  145.5  114.5   63.8  107.4  214.8  100.3   266.6   220.6   321.9   386.0  1208.0
2010   79.6   74.7   78.7   47.5   38.9   38.4  107.0   97.5  113.3  100.5  122.7   47.1   254.6   165.1   242.9   336.5   946.0
2011  102.2  113.8   49.5   35.7  100.7   84.7   75.7  105.4  107.4  122.0   99.0  166.7   263.1   185.9   265.8   328.4  1162.7
2012  110.2   59.4   36.7  128.2   65.6  149.0  118.5  111.3  111.8  125.6  135.1  178.3   336.2   230.5   378.8   372.5  1329.7
2013  109.7   59.6   64.4   62.9   91.8   48.5   65.2   72.2   71.0  162.6   90.4  185.6   347.7   219.2   185.8   324.1  1084.0
2014  186.7  167.6   79.7   67.5   99.3   54.7   64.0  138.0   22.6  157.1  123.3  131.3   539.9   246.6   256.7   303.0  1291.8
2015  153.6   80.0   95.0   45.5  109.7   56.0  107.6  104.8   51.9   72.0  171.9  216.3   364.9   250.1   268.4   295.9  1264.3
2016  178.4  110.1   83.8   77.4   61.5   96.0   78.5   85.2   96.3   47.0  104.9   77.2   504.9   222.6   259.7   248.1  1096.1
2017   76.0   93.4   97.8   33.2   57.2  110.4  101.2  102.3  117.2  101.4  107.6  120.8   246.5   188.1   313.9   326.2  1118.4
